reg,brand,fuel
PNT90839,IVECO,LNG
PNT90840,IVECO,LNG
PO3TP51,IVECO,LNG
PO3TP52,IVECO,LNG
PO3TP53,IVECO,LNG
PO3TP54,IVECO,LNG
PO3TP55,IVECO,LNG
PZ070PA,IVECO,ON
PZ071PA,IVECO,ON
PZ106PA,IVECO,ON
PZ128PA,IVECO,ON
PZ151PA,MERCEDES,ON
PZ152PA,MERCEDES,ON
PZ153PA,MERCEDES,ON
PZ154PA,MERCEDES,ON
PZ1H158,IVECO,LNG
PZ1H159,IVECO,LNG
PZ1H160,IVECO,LNG
PZ1H161,IVECO,LNG
PZ1H162,IVECO,LNG
PZ1H163,IVECO,LNG
PZ1H164,IVECO,LNG
PZ1H165,IVECO,LNG
PZ1Y489,IVECO,LNG
PZ1Y490,IVECO,LNG
PZ2J052,IVECO,LNG
PZ2N963,MERCEDES,ON
PZ3R538,IVECO,LNG
PZ3R663,IVECO,LNG
PZ3R778,IVECO,LNG
PZ3R779,IVECO,LNG
PZ3R780,IVECO,LNG
PZ3R801,IVECO,LNG
PZ3X491,MERCEDES,ON
PZ3X492,MERCEDES,ON
PZ3X633,MERCEDES,ON
PZ4E323,IVECO,LNG
PZ4E567,IVECO,LNG
PZ4E627,IVECO,LNG
PZ4U915,IVECO,LNG
PZ4U952,IVECO,LNG
PZ4U953,IVECO,LNG
PZ701RM,MERCEDES,ON
PZ702RM,MERCEDES,ON
PZ703RM,MERCEDES,ON
PZ704RM,MERCEDES,ON
PZ706RM,MERCEDES,ON
PZ816WH,IVECO,ON
PZ818WH,IVECO,ON
PZ819WH,IVECO,ON
PZ820WH,IVECO,ON
PZ821WH,IVECO,ON
WGM87558,IVECO,LNG
WGM87559,IVECO,LNG
WGM87560,IVECO,LNG
WGM87561,IVECO,LNG
PP3758U,IVECO,ON
PP3759U,IVECO,ON
PP3761U,IVECO,ON
PY0384N,IVECO,ON
PY0385N,IVECO,ON
PY0386N,IVECO,ON

